code,latest_date,action,setup_type,weekly_up,daily_up,latest_close,entry_low,entry_high,take1,stop,rr1,risk_pct,vol_ratio,turnover_med25_mn_yen,total_score,today_rank_score,ifd_reco_time,ifd_order_type,ifd_entry_price,ifd_take_profit,ifd_stop_loss,ifd_0930_formula,ifd_skip_rule,ifd_note
9343,2026-06-03,買い候補（押し目）,押し目買い,True,True,774.0,764.0,777.9,863.8,658.4,0.9,13.8,1.1,53.4,75.5,,見送り,,,,,,,
6521,2026-06-02,除外（ボラ条件外）,押し目買い,True,False,5030.0,5004.9,5610.6,7015.4,4311.4,2.9,13.8,0.8,3268.3,72.0,,見送り,,,,,,,
2108,2026-06-02,買い候補（押し目）,押し目買い,True,False,4140.0,4119.3,4160.7,4435.0,3846.2,1.2,6.6,0.9,92.1,68.6,,見送り,,,,,,,
6737,2026-06-03,監視候補（週足上昇）,監視,True,True,2576.0,,,,,,,1.0,689.7,60.9,,見送り,,,,,,,
5821,2026-06-02,除外（ボラ条件外）,押し目買い,True,False,3895.0,3875.5,3914.5,4408.0,3168.0,0.8,18.3,0.8,396.1,57.0,,見送り,,,,,,,
4264,2026-06-02,除外（流動性不足）,押し目買い,True,False,1686.0,1677.6,1694.4,1744.5,1576.1,0.7,6.0,0.9,25.0,51.4,,見送り,,,,,,,
4064,2026-06-02,監視候補（週足上昇）,監視,True,True,3205.0,,,,,,,1.0,171.5,50.6,,見送り,,,,,,,
4180,2026-06-02,除外（ボラ条件外）,監視,True,True,965.0,,,,,,,0.8,1404.5,50.0,,見送り,,,,,,,
3905,2026-06-02,除外（ボラ条件外）,監視,True,True,4360.0,,,,,,,1.1,7594.9,50.0,,見送り,,,,,,,
5074,2026-06-02,除外（ボラ条件外）,監視,True,True,1031.0,,,,,,,0.7,4240.4,50.0,,見送り,,,,,,,
3853,2026-06-02,除外（ボラ条件外）,監視,True,True,1991.0,,,,,,,0.8,1883.4,50.0,,見送り,,,,,,,
3993,2026-06-02,除外（ボラ条件外）,監視,True,True,3210.0,,,,,,,1.5,1384.7,50.0,,見送り,,,,,,,
4047,2026-06-02,除外（ボラ条件外）,監視,True,True,3530.0,,,,,,,1.1,1524.7,50.0,,見送り,,,,,,,
6480,2026-06-03,除外（ボラ条件外）,監視,True,True,2084.0,,,,,,,1.0,2497.5,50.0,,見送り,,,,,,,
6071,2026-06-02,監視候補（週足上昇）,監視,True,True,820.0,,,,,,,0.9,150.6,49.9,,見送り,,,,,,,
4076,2026-06-02,除外（流動性不足）,監視,True,True,1678.0,,,,,,,0.4,2.6,49.0,,見送り,,,,,,,
7317,2026-06-02,除外（流動性不足）,監視,True,True,1108.0,,,,,,,0.3,39.9,48.1,,見送り,,,,,,,
4419,2026-06-02,除外（ボラ条件外）,監視,True,True,1361.0,,,,,,,1.3,703.2,47.8,,見送り,,,,,,,
4413,2026-06-03,除外（ボラ条件外）,監視,True,True,2568.0,,,,,,,1.1,649.7,47.8,,見送り,,,,,,,
319A,2026-06-03,除外（ボラ条件外）,監視,True,True,17740.0,,,,,,,1.2,589.9,47.8,,見送り,,,,,,,
9344,2026-06-02,除外（流動性不足）,監視,True,True,956.0,,,,,,,0.7,2.2,46.7,,見送り,,,,,,,
4216,2026-06-03,監視候補（週足上昇）,監視,True,True,6810.0,,,,,,,1.5,479.3,46.1,,見送り,,,,,,,
4417,2026-06-02,除外（ボラ条件外）,監視,True,True,3360.0,,,,,,,0.8,273.7,45.5,,見送り,,,,,,,
3964,2026-06-02,除外（ボラ条件外）,監視,True,True,1444.0,,,,,,,0.5,244.5,45.5,,見送り,,,,,,,
6238,2026-06-03,監視候補（週足上昇）,監視,True,False,1320.0,,,,,,,1.0,222.0,43.5,,見送り,,,,,,,
4258,2026-06-02,除外（ボラ条件外）,監視,True,True,3525.0,,,,,,,1.0,194.9,43.2,,見送り,,,,,,,
