status,latest_date,latest_close,weekly_up,daily_up,setup_type,action,trend_score,setup_score,liquidity_score,vol_pref_score,total_score,turnover_med25_yen,turnover_med25_mn_yen,rv_eval_pct,rv_lookback,vol_ratio,bb_z,ma25,ma50,bb_upper,bb_lower,entry_low,entry_high,stop,take1,take2,risk_pct,reward1_pct,reward2_pct,rr1,rr2,code,group_name,file_path
ok,2026-05-11,1240.0,True,True,押し目買い,買い候補（押し目）,100.0,88.0,55.0,39.21,79.93,172976100.0,172.9761,35.19629778432708,126,0.8402438354659784,0.28623005585856276,1229.28,1219.54,1304.184782223829,1154.375217776171,1233.8,1246.1999999999998,1124.64,1304.184782223829,1395.744,8.85,5.7,13.13,0.64,1.48,3964,④その他140,prices/3964.T/3964.T__1d.csv
ok,2026-05-11,1314.0,True,False,押し目買い,買い候補（押し目）,75.0,88.0,55.0,57.54,73.93,190653800.0,190.6538,30.615967914026587,126,1.1500119309595143,-0.12705695744832368,1317.32,1261.8188916015624,1369.5800267891702,1265.0599732108296,1307.43,1320.57,1223.9643248535156,1369.5800267891702,1479.0384000000001,6.38,4.75,13.13,0.74,2.06,6238,④その他140,prices/6238.T/6238.T__1d.csv
ok,2026-05-11,5760.0,True,False,押し目買い,買い候補（押し目）,75.0,88.0,70.0,4.53,68.23,292032000.0,292.032,43.866820893351225,126,1.0341029615729787,-0.3091152769703857,5792.4,5722.10724609375,6002.030532127363,5582.769467872637,5731.2,5788.799999999999,5534.1,6002.030532127363,6483.456,3.44,4.73,13.13,1.37,3.82,4216,④その他140,prices/4216.T/4216.T__1d.csv
ok,2026-05-11,3275.0,True,False,下限バンド復帰,監視候補（戻り初動）,45.0,75.0,35.0,64.7,56.96,62225000.0,62.225,28.823792776548256,126,2.7014735310169185,-0.849959561320164,3377.8,3416.2448583984374,3619.693861021648,3135.9061389783524,3265.175,3307.75,3069.0,3377.8,3619.693861021648,6.01,3.45,10.86,0.57,1.81,3221,①特に気になる20,prices/3221.T/3221.T__1d.csv
ok,2026-05-11,5820.0,True,True,監視,監視候補（週足上昇）,100.0,0.0,55.0,28.99,47.6,187240000.0,187.24,37.75296702434064,126,0.4695241387256596,0.1115692875242059,5793.6,5564.6,6266.848518222758,5320.351481777243,,,,,,,,,,,4051,④その他140,prices/4051.T/4051.T__1d.csv
ok,2026-05-11,553.0,True,True,監視,監視候補（週足上昇）,100.0,0.0,35.0,32.1,45.07,80371200.0,80.3712,36.974793179506996,126,0.7413762196215012,0.6372784700517764,542.16,531.98,576.17966490134,508.14033509866,,,,,,,,,,,3939,④その他140,prices/3939.T/3939.T__1d.csv
ok,2026-05-11,1349.0,True,False,監視,監視候補（週足上昇）,45.0,0.0,55.0,81.0,36.15,167714400.0,167.7144,24.749591162603593,126,0.9922531729025877,-1.9137005750893041,1454.28,1485.7,1564.3076619764165,1344.2523380235834,,,,,,,,,,,9543,④その他140,prices/9543.T/9543.T__1d.csv
ok,2026-05-11,2805.0,True,False,監視,監視候補（週足上昇）,60.0,0.0,55.0,45.79,36.12,106391500.0,106.3915,33.55303246502176,126,1.3348022135683542,0.8763075243260429,2743.2,2767.965966796875,2884.246375352145,2602.1536246478545,,,,,,,,,,,4064,④その他140,prices/4064.T/4064.T__1d.csv
ok,2026-05-11,895.0,True,False,監視,監視候補（週足上昇）,60.0,0.0,70.0,11.8,33.27,448075200.0,448.0752,42.04977480865407,126,0.5673363886031069,-0.6032950123022309,926.8,895.16,1032.221060514484,821.3789394855158,,,,,,,,,,,3673,④その他140,prices/3673.T/3673.T__1d.csv
ok,2026-05-11,2347.0,True,False,監視,監視候補（週足上昇）,60.0,0.0,70.0,2.65,31.9,386873200.0,386.8732,44.337527469152626,126,1.3187488754273375,-0.9064593930980945,2472.4,2445.5890771484374,2749.08089923236,2195.71910076764,,,,,,,,,,,5208,④その他140,prices/5208.T/5208.T__1d.csv
ok,2026-05-11,830.0,True,False,監視,監視候補（週足上昇）,60.0,0.0,35.0,33.55,31.28,70744300.0,70.7443,36.61334157312975,126,0.42129874713252163,-0.6929450405817267,850.28,837.7876599121093,908.8127805592632,791.7472194407368,,,,,,,,,,,5852,④その他140,prices/5852.T/5852.T__1d.csv
ok,2026-05-11,3975.0,True,False,監視,監視候補（週足上昇）,45.0,0.0,35.0,57.05,29.56,74426000.0,74.426,30.73723367310905,126,0.7954545454545454,-0.8686496075382274,4048.6,4078.9494677734374,4218.058431480983,3879.1415685190163,,,,,,,,,,,2108,④その他140,prices/2108.T/2108.T__1d.csv
ok,2026-05-11,3180.0,True,False,監視,監視候補（週足上昇）,45.0,0.0,35.0,53.95,29.09,79056000.0,79.056,31.513216489118122,126,1.099028227672374,-1.6403901882938527,3315.2,3304.373916015625,3480.0388303768377,3150.361169623162,,,,,,,,,,,8059,④その他140,prices/8059.T/8059.T__1d.csv
